_H:	$word	$phones
_D:	"abjective"	"aa_b.'j_e_k.t_i_v%c"
_D:	"abjectly"	"aa_b.'j_e_k_t.l_i%d"
_D:	"abjunction"	"aa_b.'j_a_ng_k.sh_uh_n%a"
_D:	"abjuration"	"~aa_b.j_u.'r_e_i.sh_uh_n%a"
_D:	"abjure"	"aa_b.'j_y_uu_r%b"
_D:	"ablactate"	"aa_b.'l_aa_k.t_e_i_t%b"
_D:	"ablate"	"uh.'b_l_e_i_t%b"
_D:	"ablation"	"uh_b.'l_e_i.sh_uh_n%a"
_D:	"ablatival"	"~aa_b.l_uh.'t_ah_i.v_uh_l%c"
_D:	"ablative"	"aa_b.'l_uh.t_i_v%ca"
_D:	"ablatively"	"uh.'b_l_e_i.t_i_v.l_i%d"
_D:	"ablaut"	"'aa_b.l_ah_uu_t%a"
_D:	"ablaze"	"uh.'b_l_e_i_z%c"
_D:	"able"	"'e_i.b_ll%ca"
_D:	"ablebodied"	"'e_i.b_ll.b_o_d.i_d%bc"
_D:	"ablegate"	"'aa_b.l_i.~g_e_i_t%a"
_D:	"ablepharous"	"e_i.'b_l_e_f.uh_r.uh_s%c"
_D:	"ablepsia"	"e_i.'b_l_e_p.s_i.uh%a"
_D:	"ableptical"	"e_i.'b_l_e_p.t_i.k_uh_l%c"
_D:	"ablins"	"'e_i.b_l_i_n_z%d"
_D:	"ablock"	"uh.'b_l_o_k%d"
_D:	"abloom"	"uh.'b_l_uu_m%dc"
_D:	"abluent"	"'aa_b.l_uu.uh_n_t%ca"
_D:	"ablush"	"uh.'b_l_a_sh%c"
_D:	"ablution"	"a_b.'l_uu.sh_uh_n%a"
_D:	"ably"	"'e_i.b_l_i%d"
_D:	"abmho"	"'aa_b.m_uh_uu%a"
_D:	"abmodality"	"~aa_b.m_uh_uu.'d_aa_l.i.t_i%a"
_D:	"abnegate"	"'aa_b.n_e.~g_e_i_t%b"
_D:	"abner"	"'aa_b.n_uh_r%a"
_D:	"abnormal"	"aa_b.'n_aw_r.m_uh_l%c"
_D:	"abnormalcy"	"aa_b.'n_aw_r.m_uh_l.s_i%a"
_D:	"abnormalise"	"aa_b.'n_aw_r.m_uh.~l_ah_i_z%b"
_D:	"abnormality"	"~aa_b.n_aw_r.'m_aa_l.i.t_i%a"
_D:	"abnormalize"	"aa_b.'n_aw_r.m_uh.~l_ah_i_z%b"
_D:	"abnormally"	"aa_b.'n_aw_r.m_uh.l_i%d"
_D:	"abnormity"	"aa_b.'n_aw_r.m_i.t_i%a"
_D:	"abo"	"'aa_b.uh_uu%ac"
_D:	"aboard"	"uh.'b_aw_r_d%dg"
_D:	"aboardage"	"uh.'b_aw_r.d_i_j%a"
_D:	"abode"	"uh.'b_uh_uu_d%ab"
_D:	"abohm"	"aa_b.'uh_uu_m%a"
_D:	"abolish"	"uh.'b_o_l.i_sh%b"
_D:	"abolisher"	"uh.'b_o.l_i.sh_uh_r%ca"
_D:	"abolition"	"~aa_b.uh.'l_i_sh.uh_n%a"
_D:	"abolitionise"	"~aa_b.uh.'l_i_sh.uh.~n_ah_i_z%b"
_D:	"abolitionism"	"~aa_b.uh.'l_i_sh.uh.~n_i_z.uh_m%a"
_D:	"abolitionize"	"~aa_b.uh.'l_i_sh.uh.~n_ah_i_z%b"
_D:	"abolla"	"uh.'b_o_l.uh%a"
_D:	"abollae"	"uh.'b_o_l.ah_i%j"
_D:	"abomasum"	"~aa_b.uh_uu.'m_e_i.s_uh_m%a"
